Period,summ
7/15/2006,11793.5
7/29/2006,9232
8/12/2006,9023
8/26/2006,9404.5
9/9/2006,11449
9/23/2006,9589
10/7/2006,10311.5
10/21/2006,10251
11/4/2006,10999
11/18/2006,12296.5
12/2/2006,14342.5
12/16/2006,9772.5
12/30/2006,14828.5
1/13/2007,13563.5
1/27/2007,11898
2/10/2007,9829.5
2/24/2007,12044.5
3/10/2007,10954.5
3/24/2007,10615.5
4/7/2007,14079
4/21/2007,10426.5
5/5/2007,10251.5
5/19/2007,10520.28
6/2/2007,12261.5
6/16/2007,9832.5
6/30/2007,10846.5
7/14/2007,12149
7/28/2007,10114.5
8/11/2007,10009
8/25/2007,10052
9/8/2007,11824
9/22/2007,10044
10/6/2007,10098
10/20/2007,10386.5
11/3/2007,10808
11/17/2007,12534.56
12/1/2007,13613.5
12/15/2007,10123
12/29/2007,14281
1/12/2008,13724.5
1/26/2008,11496.5
2/9/2008,9721.5
2/23/2008,11782
3/8/2008,10691
3/22/2008,11611
4/5/2008,12078
4/19/2008,10255.07
5/3/2008,9532.74
5/17/2008,10087.43
5/31/2008,11840.5
6/14/2008,10044.5
6/28/2008,10381.5
7/12/2008,11277
7/26/2008,10077.5
8/9/2008,9542
8/23/2008,9866
9/6/2008,12186
9/20/2008,9379.5
10/4/2008,9681
10/18/2008,9133.66
11/1/2008,9933
11/15/2008,13286.82
11/29/2008,14095
12/13/2008,9874
12/27/2008,13640
1/10/2009,14657
1/24/2009,11535.32
2/7/2009,9583
2/21/2009,12314.5
3/7/2009,9497
3/21/2009,9894
4/4/2009,11848
4/18/2009,12107
5/2/2009,9663.5
5/16/2009,10274.97
5/30/2009,11140
6/13/2009,8811
6/27/2009,9324.5
7/11/2009,10720
7/25/2009,9816.71
8/8/2009,9336
8/22/2009,9931.5
9/5/2009,9781.5
9/19/2009,11868
10/3/2009,9839
10/17/2009,10105
10/31/2009,10150
11/14/2009,12095
11/28/2009,13646.51
12/12/2009,10100
12/26/2009,13860.5
1/9/2010,13207
1/23/2010,11570
2/6/2010,10452
2/20/2010,11997.5
3/6/2010,9903.5
3/20/2010,10241
4/3/2010,13436
4/17/2010,10052.5
5/1/2010,9886
5/15/2010,10003.09
5/29/2010,9724
6/12/2010,11673.2
6/26/2010,9090
7/10/2010,11053.5
7/24/2010,8978.5
8/7/2010,9083.5
8/21/2010,9002.88
9/4/2010,9109.5
9/18/2010,11160.5
10/2/2010,8666.45
10/16/2010,9109
10/30/2010,9351
11/13/2010,10779.5
11/27/2010,12527.06
12/11/2010,8721
12/25/2010,12737
1/8/2011,12523
1/22/2011,10978
2/5/2011,8820.5
2/19/2011,9233.5
3/5/2011,10736.5
3/19/2011,8733.5
4/2/2011,10577
4/16/2011,9415.5
4/30/2011,10114.5
5/14/2011,8532.97
5/28/2011,8210.6
6/11/2011,9973
6/25/2011,8361.5
7/9/2011,10544
7/23/2011,8720
8/6/2011,8228.72
8/20/2011,8820
9/3/2011,8836.5
9/17/2011,10826
10/1/2011,8569
10/15/2011,8957.5
10/29/2011,8909
11/12/2011,10421
11/26/2011,12330.33
12/10/2011,9059.5
12/24/2011,10772.5
1/7/2012,9821
1/21/2012,10462
2/4/2012,8559.5
2/18/2012,9402.5
3/3/2012,10523.5
3/17/2012,8709
3/31/2012,10713
4/14/2012,9916
4/28/2012,8554.5
5/12/2012,8217
5/26/2012,8581.59
6/9/2012,9615
6/23/2012,8574
7/7/2012,10746.5
7/21/2012,8244.5
8/4/2012,8309.5
8/18/2012,8761.5
9/1/2012,9265
9/15/2012,10339
9/29/2012,8948.5
10/13/2012,9206
10/27/2012,9001
11/10/2012,9392.5
11/24/2012,10034.31
12/8/2012,8528.5
12/22/2012,9109.5
1/5/2013,6936.5
1/19/2013,8820.83
2/2/2013,11121
2/16/2013,9868
3/2/2013,11485.5
3/16/2013,10258.5
3/30/2013,11784
4/13/2013,11811.5
4/27/2013,9837
5/11/2013,9667
5/25/2013,9523.92
6/8/2013,10752.5
6/22/2013,9780
7/6/2013,11181
7/20/2013,9236.5
8/3/2013,9376
8/17/2013,8649.5
8/31/2013,9037.5
9/14/2013,10744.3
9/28/2013,9006.5
10/12/2013,9585
10/26/2013,9014.5
11/9/2013,9761
11/23/2013,11168.4
12/7/2013,12253
12/21/2013,8968
1/4/2014,6425.5
1/18/2014,9911.65
2/1/2014,10948.5
2/15/2014,9080
3/1/2014,10849.5
3/15/2014,9095.5
3/29/2014,8453.5
4/12/2014,10645.25
4/26/2014,10250
5/10/2014,8977.89
5/24/2014,9131.75
6/7/2014,10744.5
6/21/2014,9106
7/5/2014,10526.5
7/19/2014,8113.44
8/2/2014,9100.5
8/16/2014,8775.5
8/30/2014,8910.5
9/13/2014,9934
9/27/2014,8943.5
10/11/2014,8395
10/25/2014,8453
11/8/2014,9079.5
11/22/2014,10870.64
