Project,sum3
102411,1
102723,17
103006,1
103129,100
103144,2
103164,23
103166,9
103179,4
103181,1
103186,1
103226,11
103237,1
103242,1
103295,19
103300,6
103321,10
103380,7
103391,27
103413,5
103436,1
103487,9
103491,1
103504,6
103519,8
103531,11
103567,1
103569,21
103587,2
103619,36
103640,3
103739,20
103740,1
103743,1
103745,23
103746,18
103747,2
103749,2
103752,1
103759,5
103771,27
103781,18
103786,1
103802,5
103805,56
103806,1
103811,48
103844,1
103874,35
103879,33
103880,2
103883,8
103884,6
103888,9
103893,70
103898,6
103902,2
103904,2
103919,3
103973,2
104008,5
104034,57
104036,18
104055,8
104058,4
104060,144
104062,54
104075,1
104089,16
104090,7
104091,5
104093,31
104095,41
104112,3
104113,128
104115,2
104121,8
104123,50
104128,7
104136,20
104137,1
104148,3
104150,39
104151,7
104152,17
104163,2
104174,7
104176,2
104180,23
104198,63
104199,1
104200,26
104210,6
104212,9
104222,8
104226,10
104242,3
104247,5
104249,19
104251,6
104253,32
104254,57
104255,7
104260,10
104269,7
104270,4
104284,66
104291,3
104296,24
104303,4
104309,5
104320,1
104321,5
104323,6
104335,23
104343,4
104345,1
104349,12
104366,1
104369,13
104370,5
104373,4
104374,22
104375,10
104381,47
104384,4
104385,3
104387,23
104388,115
104391,26
104392,14
104393,23
104394,8
104408,1
104412,10
104421,8
104425,2
104426,3
104427,7
104429,1
104432,7
104437,26
104438,7
104441,1
104442,2
104443,2
104444,25
104445,9
104448,13
104450,2
104453,11
104457,23
104458,2
104459,185
104463,68
104466,3
104470,9
104471,9
104474,41
104475,32
104476,2
104482,1
104486,17
104487,22
104488,12
104490,18
104491,22
104492,20
104493,17
104497,1
104500,8
104501,1
104506,1
104507,1
104509,3
104514,20
104515,1
104518,1
104519,87
104523,8
104526,6
104527,17
104528,30
104529,1
104532,4
104533,24
104536,12
104537,7
104538,1
104539,1
104540,2
104541,9
104542,25
104543,18
104546,2
104547,4
104550,26
104551,9
104552,16
104553,7
104555,1
104556,1
104557,3
104558,13
104559,10
104561,4
104563,6
104564,36
104565,6
104566,11
104567,14
104568,73
104569,43
104570,47
104571,8
104576,57
104578,5
104580,1
104582,34
104583,1
104584,2
104585,4
104586,10
104588,10
104590,1
104591,8
104592,1
104595,2
104596,2
104598,5
104599,6
104602,1
104603,12
104606,13
104607,3
104608,19
104609,19
104610,3
104611,3
104613,1
104614,111
104615,19
104618,14
104621,16
104622,2
104625,48
104627,11
104631,10
104633,17
104634,10
104635,2
104641,2
104643,21
104645,22
104646,18
104647,2
104648,4
104649,7
104650,5
104651,14
104652,2
104654,4
104655,1
104658,1
104659,5
104660,12
104661,8
104663,6
104664,7
104667,3
104668,5
104677,1
104680,1
109905,1
109907,18
600170,1
600353,165
600575,1
600757,26
600854,92
600882,1
601062,5
601070,2
601082,73
601083,1
601084,4
601094,34
701660,2
701756,77
701785,9
701806,6
701818,1
701829,3
701832,2
701833,1
701844,5
701845,5
701855,30
701866,4
900915,1
900941,10
900965,3
900980,1
900984,114
900988,7
901025,2
901102,23
901118,19
901310,6
920127,2
920138,11
920143,7
920155,3
920159,2
920162,9
920399,2
920410,1
920504,4
920942,1
921126,2
